candidate_id,R1,R2,R3,ligand_smiles
P_0043,Me,tBu,pClPh,P(C)(C(C)(C)C)c1ccc(Cl)cc1
P_0044,Me,tBu,pCF3Ph,P(C)(C(C)(C)C)c1ccc(C(F)(F)F)cc1
P_0045,Me,tBu,pCNPh,P(C)(C(C)(C)C)c1ccc(C#N)cc1
P_0046,Me,Cy,Cy,P(C)(C1CCCCC1)C1CCCCC1
P_0047,Me,Cy,Ph,P(C)(C1CCCCC1)c1ccccc1
P_0048,Me,Cy,pMePh,P(C)(C1CCCCC1)c1ccc(C)cc1
P_0049,Me,Cy,pOMePh,P(C)(C1CCCCC1)c1ccc(OC)cc1
P_0050,Me,Cy,pFPh,P(C)(C1CCCCC1)c1ccc(F)cc1
P_0051,Me,Cy,pClPh,P(C)(C1CCCCC1)c1ccc(Cl)cc1
P_0052,Me,Cy,pCF3Ph,P(C)(C1CCCCC1)c1ccc(C(F)(F)F)cc1
P_0053,Me,Cy,pCNPh,P(C)(C1CCCCC1)c1ccc(C#N)cc1
P_0054,Me,Ph,pMePh,P(C)(c1ccccc1)c1ccc(C)cc1
P_0055,Me,Ph,pOMePh,P(C)(c1ccccc1)c1ccc(OC)cc1
P_0056,Me,Ph,pFPh,P(C)(c1ccccc1)c1ccc(F)cc1
P_0057,Me,Ph,pClPh,P(C)(c1ccccc1)c1ccc(Cl)cc1
P_0058,Me,Ph,pCF3Ph,P(C)(c1ccccc1)c1ccc(C(F)(F)F)cc1
P_0059,Me,Ph,pCNPh,P(C)(c1ccccc1)c1ccc(C#N)cc1
P_0060,Me,pMePh,pMePh,P(C)(c1ccc(C)cc1)c1ccc(C)cc1
P_0061,Me,pMePh,pOMePh,P(C)(c1ccc(C)cc1)c1ccc(OC)cc1
P_0062,Me,pMePh,pFPh,P(C)(c1ccc(C)cc1)c1ccc(F)cc1
P_0063,Me,pMePh,pClPh,P(C)(c1ccc(C)cc1)c1ccc(Cl)cc1
P_0064,Me,pMePh,pCF3Ph,P(C)(c1ccc(C)cc1)c1ccc(C(F)(F)F)cc1
P_0065,Me,pMePh,pCNPh,P(C)(c1ccc(C)cc1)c1ccc(C#N)cc1
P_0066,Me,pOMePh,pOMePh,P(C)(c1ccc(OC)cc1)c1ccc(OC)cc1
P_0067,Me,pOMePh,pFPh,P(C)(c1ccc(OC)cc1)c1ccc(F)cc1
P_0068,Me,pOMePh,pClPh,P(C)(c1ccc(OC)cc1)c1ccc(Cl)cc1
P_0069,Me,pOMePh,pCF3Ph,P(C)(c1ccc(OC)cc1)c1ccc(C(F)(F)F)cc1
P_0070,Me,pOMePh,pCNPh,P(C)(c1ccc(OC)cc1)c1ccc(C#N)cc1
P_0071,Me,pFPh,pFPh,P(C)(c1ccc(F)cc1)c1ccc(F)cc1
P_0072,Me,pFPh,pClPh,P(C)(c1ccc(F)cc1)c1ccc(Cl)cc1
P_0073,Me,pFPh,pCF3Ph,P(C)(c1ccc(F)cc1)c1ccc(C(F)(F)F)cc1
P_0074,Me,pFPh,pCNPh,P(C)(c1ccc(F)cc1)c1ccc(C#N)cc1
P_0075,Me,pClPh,pClPh,P(C)(c1ccc(Cl)cc1)c1ccc(Cl)cc1
P_0076,Me,pClPh,pCF3Ph,P(C)(c1ccc(Cl)cc1)c1ccc(C(F)(F)F)cc1
P_0077,Me,pClPh,pCNPh,P(C)(c1ccc(Cl)cc1)c1ccc(C#N)cc1
P_0078,Me,pCF3Ph,pCF3Ph,P(C)(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1
P_0079,Me,pCF3Ph,pCNPh,P(C)(c1ccc(C(F)(F)F)cc1)c1ccc(C#N)cc1
P_0080,Me,pCNPh,pCNPh,P(C)(c1ccc(C#N)cc1)c1ccc(C#N)cc1
P_0081,Et,Et,Et,P(CC)(CC)CC
P_0082,Et,Et,iPr,P(CC)(CC)C(C)C
P_0083,Et,Et,tBu,P(CC)(CC)C(C)(C)C
P_0084,Et,Et,Cy,P(CC)(CC)C1CCCCC1
P_0085,Et,Et,Ph,P(CC)(CC)c1ccccc1
P_0086,Et,Et,pMePh,P(CC)(CC)c1ccc(C)cc1
P_0087,Et,Et,pOMePh,P(CC)(CC)c1ccc(OC)cc1
P_0088,Et,Et,pFPh,P(CC)(CC)c1ccc(F)cc1
P_0089,Et,Et,pClPh,P(CC)(CC)c1ccc(Cl)cc1
P_0090,Et,Et,pCF3Ph,P(CC)(CC)c1ccc(C(F)(F)F)cc1
P_0091,Et,Et,pCNPh,P(CC)(CC)c1ccc(C#N)cc1
