i,element_i,j,element_j,distance_A
2,P,33,H,2.298886
25,H,35,C,2.300043
1,Co,22,H,2.315448
24,H,35,C,2.320797
4,O,40,H,2.328626
35,C,39,C,2.332145
19,C,37,H,2.335744
23,H,25,H,2.338033
19,C,35,C,2.355441
30,H,32,H,2.369937
18,C,20,C,2.372889
20,C,22,H,2.386064
3,P,41,H,2.391673
4,O,9,C,2.409855
5,O,10,C,2.409855
2,P,29,H,2.419238
24,H,26,H,2.428127
19,C,36,H,2.446835
3,P,36,H,2.454873
2,P,21,H,2.460225
1,Co,40,H,2.474510
2,P,34,H,2.476935
2,P,30,H,2.484278
29,H,31,C,2.486443
4,O,11,H,2.489859
3,P,38,H,2.492449
27,C,32,H,2.497198
2,P,28,H,2.499742
3,P,25,H,2.507608
27,C,34,H,2.517618
3,P,37,H,2.520218
5,O,11,H,2.531679
7,C,9,C,2.583118
7,C,10,C,2.583118
20,C,39,C,2.607700
11,H,12,H,2.623928
23,H,37,H,2.628422
2,P,32,H,2.650269
4,O,13,H,2.657894
5,O,16,H,2.657894
4,O,5,O,2.660601
22,H,24,H,2.670169
26,H,39,C,2.676004
23,H,26,H,2.681884
6,C,8,C,2.688866
24,H,37,H,2.694457
9,C,11,H,2.695366
18,C,25,H,2.716947
38,H,40,H,2.736092
1,Co,18,C,2.740620
35,C,42,H,2.740748
11,H,17,H,2.759642
10,C,11,H,2.772183
22,H,25,H,2.775086
1,Co,24,H,2.799303
35,C,40,H,2.816949
3,P,42,H,2.822587
1,Co,7,C,2.828427
21,H,24,H,2.838221
21,H,28,H,2.840880
38,H,41,H,2.842851
21,H,25,H,2.843624
2,P,5,O,2.864865
20,C,21,H,2.874196
1,Co,6,C,2.878802
1,Co,8,C,2.878802
3,P,4,O,2.880417
22,H,40,H,2.895876
7,C,12,H,2.910756
7,C,15,H,2.910756
20,C,41,H,2.936733
4,O,8,C,2.938265
5,O,6,C,2.938265
23,H,36,H,2.994144
22,H,23,H,2.994578
7,C,14,H,2.995100
7,C,17,H,2.995100
29,H,34,H,2.997165
25,H,38,H,2.998366
23,H,35,C,3.010282
18,C,27,C,3.011876
37,H,39,C,3.014449
24,H,25,H,3.027953
20,C,40,H,3.038092
21,H,27,C,3.040855
18,C,28,H,3.050902
3,P,23,H,3.058970
2,P,3,P,3.070090
35,C,41,H,3.078311
22,H,33,H,3.081899
25,H,36,H,3.090065
2,P,19,C,3.090904
5,O,33,H,3.104851
1,Co,33,H,3.107507
4,O,14,H,3.117375
5,O,17,H,3.117375
4,O,12,H,3.136144
5,O,15,H,3.136144
26,H,42,H,3.137674
22,H,31,C,3.160585
22,H,39,C,3.165723
3,P,21,H,3.175421
22,H,41,H,3.181210
36,H,39,C,3.184180
1,Co,19,C,3.190313
25,H,41,H,3.231873
30,H,33,H,3.232429
5,O,32,H,3.235877
26,H,41,H,3.237576
25,H,39,C,3.241250
5,O,31,C,3.252830
26,H,40,H,3.256056
2,P,24,H,3.259020
11,H,15,H,3.265731
27,C,33,H,3.273897
4,O,39,C,3.281067
11,H,14,H,3.328757
24,H,38,H,3.337199
28,H,31,C,3.348283
6,C,40,H,3.348836
1,Co,11,H,3.350746
18,C,26,H,3.358467
1,Co,31,C,3.363034
22,H,35,C,3.372788
1,Co,39,C,3.379719
22,H,26,H,3.382218
20,C,42,H,3.395306
36,H,40,H,3.410645
19,C,38,H,3.425157
22,H,27,C,3.426908
21,H,30,H,3.432871
22,H,34,H,3.439317
18,C,35,C,3.447811
29,H,33,H,3.451637
37,H,42,H,3.456487
37,H,41,H,3.464188
5,O,29,H,3.469193
7,C,13,H,3.474550
7,C,16,H,3.474550
